timestamp,model_name,samples_per_class,accuracy,num_classes,total_samples,precision_Alluvial soil,recall_Alluvial soil,f1_Alluvial soil,precision_Black Soil,recall_Black Soil,f1_Black Soil,precision_Clay soil,recall_Clay soil,f1_Clay soil,precision_Red soil,recall_Red soil,f1_Red soil
2025-05-24 15:08:39,./trainedmodels/RandomForest_v1_100_images,100,0.9,4,400,0.9333333333333333,0.7,0.8,0.9523809523809523,1.0,0.975609756097561,0.782608695652174,0.9,0.8372093023255814,0.9523809523809523,1.0,0.975609756097561
2025-05-24 15:09:16,./trainedmodels/RandomForest_v1_100_images,400,0.9497716894977168,4,1094,0.9375,0.9375,0.9375,1.0,0.9347826086956522,0.9662921348314607,0.8604651162790697,0.925,0.891566265060241,1.0,1.0,1.0
2025-05-24 15:09:39,./trainedmodels/RandomForest_v1_400_images,400,0.9452054794520548,4,1094,0.9473684210526315,0.9,0.9230769230769231,0.9777777777777777,0.9565217391304348,0.967032967032967,0.8636363636363636,0.95,0.9047619047619048,0.9814814814814815,1.0,0.9906542056074766
2025-05-24 15:17:36,./trainedmodels/RandomForest_v1_400_images,400,0.9680365296803652,4,1094,0.9625,0.9625,0.9625,0.9565217391304348,0.9565217391304348,0.9565217391304348,1.0,0.95,0.9743589743589743,0.9636363636363636,1.0,0.9814814814814815
2025-05-24 15:19:49,./trainedmodels/RandomForest_v1_400_images,400,0.9634703196347032,4,1094,0.9294117647058824,0.9875,0.9575757575757575,1.0,0.9347826086956522,0.9662921348314607,0.972972972972973,0.9,0.935064935064935,0.9814814814814815,1.0,0.9906542056074766
2025-05-24 15:24:05,./trainedmodels/RandomForest_v1_400_images,400,0.958904109589041,4,1094,0.9382716049382716,0.95,0.9440993788819876,1.0,0.9347826086956522,0.9662921348314607,0.9047619047619048,0.95,0.926829268292683,1.0,1.0,1.0
2025-05-24 15:56:40,./trainedmodels/RandomForest_v1_400_images,400,0.9497716894977168,4,1094,0.9733333333333334,0.9125,0.9419354838709677,1.0,0.9347826086956522,0.9662921348314607,0.8666666666666667,0.975,0.9176470588235294,0.9464285714285714,1.0,0.9724770642201835
2025-05-24 15:58:18,./trainedmodels/RandomForest_v1_400_images,400,0.9497716894977168,4,1094,0.9493670886075949,0.9375,0.9433962264150944,0.9772727272727273,0.9347826086956522,0.9555555555555556,0.8604651162790697,0.925,0.891566265060241,1.0,1.0,1.0
2025-05-24 16:08:59,.//trainedmodels/XGBoost_v1_100_images,100,0.8875,4,400,0.85,0.85,0.85,1.0,0.9,0.9473684210526315,0.8181818181818182,0.9,0.8571428571428571,0.9,0.9,0.9
2025-05-24 16:14:57,.//trainedmodels/XGBoost_v1_60_images,60,0.8333333333333334,4,240,0.75,0.75,0.75,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.9230769230769231,1.0,0.96
2025-05-24 16:23:31,./trainedmodels/RandomForest_grid_search_best,30,0.8333333333333334,4,120,0.7142857142857143,0.8333333333333334,0.7692307692307693,1.0,0.8333333333333334,0.9090909090909091,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0
2025-05-24 16:41:45,.//trainedmodels/XGBoost_v1_400_images,400,0.9726027397260274,4,1094,0.9404761904761905,0.9875,0.9634146341463414,1.0,0.9565217391304348,0.9777777777777777,0.9736842105263158,0.925,0.9487179487179487,1.0,1.0,1.0
2025-05-24 17:43:41,EfficientNetB0_v1_100images,100,0.9625,4,1094,0.9473684210526315,0.9,0.9230769230769231,1.0,1.0,1.0,0.9047619047619048,0.95,0.926829268292683,1.0,1.0,1.0
2025-05-24 18:05:33,EfficientNetB0_v1_100images,100,0.9375,4,1094,0.9473684210526315,0.9,0.9230769230769231,1.0,0.9,0.9473684210526315,0.8636363636363636,0.95,0.9047619047619048,0.9523809523809523,1.0,0.975609756097561
2025-05-24 18:14:16,EfficientNetB0_v1_400images,400,0.9817351598173516,4,1094,0.9634146341463414,0.9875,0.9753086419753086,1.0,0.9782608695652174,0.989010989010989,0.9743589743589743,0.95,0.9620253164556962,1.0,1.0,1.0
